Gene,Final_Weight,Calculation_Details
HLX,2.0,Base:1.0 + Bio:1.0(Raw:1)
BATF,2.0,Base:1.0 + Bio:1.0(Raw:1)
SIRPA,2.0,Base:1.0 + Bio:1.0(Raw:1)
CD160,2.0,Base:1.0 + Bio:1.0(Raw:1)
ARG1,2.0,Base:1.0 + Bio:1.0(Raw:1)
PYHIN1,2.0,Base:1.0 + Bio:1.0(Raw:1)
GSDMB,2.0,Base:1.0 + Bio:1.0(Raw:1)
CEACAM6,2.0,Base:1.0 + Bio:1.0(Raw:1)
PSG9,2.0,Base:1.0 + Bio:1.0(Raw:1)
HNRNPU,2.0,Base:1.0 + Bio:1.0(Raw:1)
BANK1,2.0,Base:1.0 + Bio:1.0(Raw:1)
ATG16L1,2.0,Base:1.0 + Bio:1.0(Raw:1)
ANG,2.0,Base:1.0 + Bio:1.0(Raw:1)
SKAP1,2.0,Base:1.0 + Bio:1.0(Raw:1)
SERPINB1,2.0,Base:1.0 + Bio:1.0(Raw:1)
QSOX1,2.0,Base:1.0 + Bio:1.0(Raw:1)
PRDX4,2.0,Base:1.0 + Bio:1.0(Raw:1)
HMOX1,2.0,Base:1.0 + Bio:1.0(Raw:1)
HP,2.0,Base:1.0 + Bio:1.0(Raw:1)
F2RL1,2.0,Base:1.0 + Bio:1.0(Raw:1)
CKAP4,2.0,Base:1.0 + Bio:1.0(Raw:1)
TXK,2.0,Base:1.0 + Bio:1.0(Raw:1)
PLSCR1,2.0,Base:1.0 + Bio:1.0(Raw:1)
CDKN1B,2.0,Base:1.0 + Bio:1.0(Raw:1)
TLR10,2.0,Base:1.0 + Bio:1.0(Raw:1)
IFI44L,2.0,Base:1.0 + Bio:1.0(Raw:1)
RNF31,2.0,Base:1.0 + Bio:1.0(Raw:1)
RNASE2,2.0,Base:1.0 + Bio:1.0(Raw:1)
SH2D1B,2.0,Base:1.0 + Bio:1.0(Raw:1)
KLRB1,2.0,Base:1.0 + Bio:1.0(Raw:1)
KLHL22,2.0,Base:1.0 + Bio:1.0(Raw:1)
LGALS1,2.0,Base:1.0 + Bio:1.0(Raw:1)
IFIT3,2.0,Base:1.0 + Bio:1.0(Raw:1)
GSTO1,2.0,Base:1.0 + Bio:1.0(Raw:1)
PTGDS,2.0,Base:1.0 + Bio:1.0(Raw:1)
ZDHHC12,2.0,Base:1.0 + Bio:1.0(Raw:1)
RETN,2.0,Base:1.0 + Bio:1.0(Raw:1)
