Gene,Final_Weight,Calculation_Details
CXCL10,3.0,Base:1.0 + Bio:2.0(Raw:2) + ML:0.0(Raw:0)
CFD,3.0,Base:1.0 + Bio:2.0(Raw:2) + ML:0.0(Raw:0)
MX2,3.0,Base:1.0 + Bio:2.0(Raw:2) + ML:0.0(Raw:0)
LTBR,3.0,Base:1.0 + Bio:2.0(Raw:2) + ML:0.0(Raw:0)
ITFG2,3.0,Base:1.0 + Bio:2.0(Raw:2) + ML:0.0(Raw:0)
SH2D1B,3.0,Base:1.0 + Bio:1.0(Raw:1) + ML:1.0(Raw:2)
NPRL3,3.0,Base:1.0 + Bio:2.0(Raw:2) + ML:0.0(Raw:0)
NPRL2,3.0,Base:1.0 + Bio:2.0(Raw:2) + ML:0.0(Raw:0)
IFITM1,3.0,Base:1.0 + Bio:2.0(Raw:2) + ML:0.0(Raw:0)
DHX58,3.0,Base:1.0 + Bio:2.0(Raw:2) + ML:0.0(Raw:0)
CEACAM8,3.0,Base:1.0 + Bio:2.0(Raw:2) + ML:0.0(Raw:0)
ZDHHC12,3.0,Base:1.0 + Bio:1.0(Raw:1) + ML:1.0(Raw:2)
RPL13A,3.0,Base:1.0 + Bio:2.0(Raw:2) + ML:0.0(Raw:0)
KLRB1,3.0,Base:1.0 + Bio:1.0(Raw:1) + ML:1.0(Raw:2)
EEF2,3.0,Base:1.0 + Bio:2.0(Raw:2) + ML:0.0(Raw:0)
BPI,3.0,Base:1.0 + Bio:2.0(Raw:2) + ML:0.0(Raw:0)
RPS3,3.0,Base:1.0 + Bio:2.0(Raw:2) + ML:0.0(Raw:0)
GSTO1,3.0,Base:1.0 + Bio:1.0(Raw:1) + ML:1.0(Raw:2)
KLHL22,3.0,Base:1.0 + Bio:1.0(Raw:1) + ML:1.0(Raw:2)
PTGDS,3.0,Base:1.0 + Bio:1.0(Raw:1) + ML:1.0(Raw:2)
RNASE3,3.0,Base:1.0 + Bio:2.0(Raw:2) + ML:0.0(Raw:0)
PRTN3,3.0,Base:1.0 + Bio:2.0(Raw:2) + ML:0.0(Raw:0)
ROMO1,3.0,Base:1.0 + Bio:1.0(Raw:1) + ML:1.0(Raw:2)
RRAGD,3.0,Base:1.0 + Bio:2.0(Raw:2) + ML:0.0(Raw:0)
RNF31,3.0,Base:1.0 + Bio:1.0(Raw:1) + ML:1.0(Raw:2)
TLR10,3.0,Base:1.0 + Bio:1.0(Raw:1) + ML:1.0(Raw:2)
SESN1,3.0,Base:1.0 + Bio:2.0(Raw:2) + ML:0.0(Raw:0)
CD14,3.0,Base:1.0 + Bio:2.0(Raw:2) + ML:0.0(Raw:0)
TLR2,3.0,Base:1.0 + Bio:2.0(Raw:2) + ML:0.0(Raw:0)
IRF9,3.0,Base:1.0 + Bio:2.0(Raw:2) + ML:0.0(Raw:0)
JAK2,3.0,Base:1.0 + Bio:2.0(Raw:2) + ML:0.0(Raw:0)
RIGI,3.0,Base:1.0 + Bio:2.0(Raw:2) + ML:0.0(Raw:0)
CDKN1A,3.0,Base:1.0 + Bio:2.0(Raw:2) + ML:0.0(Raw:0)
MYD88,3.0,Base:1.0 + Bio:2.0(Raw:2) + ML:0.0(Raw:0)
HLA-DPB1,3.0,Base:1.0 + Bio:2.0(Raw:2) + ML:0.0(Raw:0)
HLA-DPA1,3.0,Base:1.0 + Bio:2.0(Raw:2) + ML:0.0(Raw:0)
OGT,2.5,Base:1.0 + Bio:1.0(Raw:1) + ML:0.5(Raw:1)
RNF125,2.5,Base:1.0 + Bio:1.0(Raw:1) + ML:0.5(Raw:1)
FCER1A,2.5,Base:1.0 + Bio:1.0(Raw:1) + ML:0.5(Raw:1)
TXK,2.5,Base:1.0 + Bio:1.0(Raw:1) + ML:0.5(Raw:1)
ANXA3,2.5,Base:1.0 + Bio:1.0(Raw:1) + ML:0.5(Raw:1)
SLPI,2.5,Base:1.0 + Bio:1.0(Raw:1) + ML:0.5(Raw:1)
SWAP70,2.5,Base:1.0 + Bio:1.0(Raw:1) + ML:0.5(Raw:1)
CD200R1,2.5,Base:1.0 + Bio:1.0(Raw:1) + ML:0.5(Raw:1)
DDIT3,2.5,Base:1.0 + Bio:1.0(Raw:1) + ML:0.5(Raw:1)
SASH1,2.5,Base:1.0 + Bio:1.0(Raw:1) + ML:0.5(Raw:1)
HP,2.5,Base:1.0 + Bio:1.0(Raw:1) + ML:0.5(Raw:1)
ZNFX1,2.5,Base:1.0 + Bio:1.0(Raw:1) + ML:0.5(Raw:1)
TRAFD1,2.5,Base:1.0 + Bio:1.0(Raw:1) + ML:0.5(Raw:1)
BST2,2.5,Base:1.0 + Bio:1.0(Raw:1) + ML:0.5(Raw:1)
MAD2L1BP,2.5,Base:1.0 + Bio:1.0(Raw:1) + ML:0.5(Raw:1)
NSMCE2,2.5,Base:1.0 + Bio:1.0(Raw:1) + ML:0.5(Raw:1)
PTGDR,2.5,Base:1.0 + Bio:1.0(Raw:1) + ML:0.5(Raw:1)
SAMSN1,2.5,Base:1.0 + Bio:1.0(Raw:1) + ML:0.5(Raw:1)
PHPT1,2.5,Base:1.0 + Bio:1.0(Raw:1) + ML:0.5(Raw:1)
FYN,2.5,Base:1.0 + Bio:1.0(Raw:1) + ML:0.5(Raw:1)
S100A9,2.5,Base:1.0 + Bio:1.0(Raw:1) + ML:0.5(Raw:1)
TXNDC17,2.5,Base:1.0 + Bio:1.0(Raw:1) + ML:0.5(Raw:1)
IL1RN,2.5,Base:1.0 + Bio:1.0(Raw:1) + ML:0.5(Raw:1)
TBC1D10C,2.5,Base:1.0 + Bio:1.0(Raw:1) + ML:0.5(Raw:1)
CKAP4,2.5,Base:1.0 + Bio:1.0(Raw:1) + ML:0.5(Raw:1)
FCRL2,2.5,Base:1.0 + Bio:0.0(Raw:0) + ML:1.5(Raw:3)
PIK3C2B,2.5,Base:1.0 + Bio:0.0(Raw:0) + ML:1.5(Raw:3)
