"","GSM2159829","GSM2159830","GSM2159831","GSM2159832","GSM2159833","GSM2159834","GSM2159835","GSM2159836","GSM2159837","GSM2159838","GSM2159839","GSM2159840","GSM2159841","GSM2159842","GSM2159843","GSM2159844","GSM2159845","GSM2159846","GSM2159847","GSM2159848","GSM2159849","GSM2159850","GSM2159851","GSM2159852","GSM2159853","GSM2159854","GSM2159855","GSM2159856","GSM2159857","GSM2159858","GSM2159859","GSM2159860","GSM2159861","GSM2159862","GSM2159863","GSM2159864","GSM2159865","GSM2159866","GSM2159867","GSM2159868"
"RNF125",10.05962584,9.885838406,9.900337973,10.05520584,10.11887643,10.02090712,9.938935223,10.07360069,9.664462908,9.695084273,9.500222043,9.085908117,9.339990412,9.472833851,9.479923672,9.682601184,9.812279986,9.447623987,9.719638842,9.21595064,9.533617777,9.639464234,9.554351114,9.699807502,9.663453787,9.46992617,9.311959614,8.786522275,9.039167958,9.140589899,8.910048194,9.025370749,8.747633562,9.549299974,9.382793506,9.042195135,9.142359188,8.771421018,9.201681794,9.209049541
"PSMB8",9.731613619,9.807738138,9.607788757,9.684225293,9.877035785,9.947404191,9.82800961,10.12738368,8.760888081,8.509863402,9.604744501,9.611095551,9.677311474,9.762243626,9.733764856,9.472472,9.694798233,9.73109584,9.535338653,10.07457886,9.910919558,9.580085753,9.927147674,9.765787811,9.520878535,9.914128838,10.11012973,9.55833415,9.657369951,10.00049569,9.807806015,9.736384476,9.774892847,9.767162716,9.67242981,9.954771504,9.803817815,9.585429639,9.855860868,9.486525933
"HTRA2",8.219598726,8.296285255,8.381791556,8.375002334,8.585067522,8.349015464,8.460927833,8.607578616,7.758233836,7.598424265,8.224179599,8.183864282,8.258292482,8.247721851,8.329159508,8.11852667,8.173661252,8.177708487,8.108946528,8.625976216,8.539562348,8.088773267,8.339345111,8.101857212,8.03845281,8.493834129,8.52558206,8.196645007,8.190459439,8.185647666,8.519340944,8.232409159,8.304630179,8.071296039,8.31073813,8.443273383,8.196848078,8.252030921,8.33888178,8.095419089
"JDP2",7.835569109,7.692593224,7.86822805,8.064434036,7.731812086,8.085965934,7.771988309,7.837201182,7.530039194,7.599793839,7.395250838,7.731336016,7.735099434,7.663301517,7.476387197,7.696807073,7.695973674,7.852178584,7.883920969,7.519264685,7.851519089,7.86028788,7.63717195,7.634666856,8.292954682,8.520603296,8.368373246,8.078687379,7.799187105,8.183198725,7.838400638,7.942826874,7.978192831,8.023373848,7.40672999,7.702195924,8.282580977,8.342691942,8.000025421,8.282393781
"CDIN1",7.378853986,7.305240684,7.283713378,7.23467175,7.299732956,7.038472677,7.284446024,7.190102273,7.733745506,7.875493459,7.188929541,7.325986306,7.27073395,7.260190479,7.401356867,7.313137157,7.385350381,7.203816602,7.444464729,7.381379044,7.122281575,7.251166091,7.223381704,7.315195533,7.054738349,6.954483615,7.064755442,7.414919492,7.397741365,7.231181428,7.32267081,7.216327974,7.280571925,7.175947741,7.406095841,7.229913289,7.204623783,7.049267098,7.510082128,7.187990128
"IWS1",9.402074287,9.496639304,9.450854928,9.566568977,9.297944076,9.480305116,9.603125023,9.47242583,9.760796113,9.629599417,9.526621301,9.584459536,9.507125653,9.614479804,9.611369748,9.517048482,9.395048871,9.299989152,9.296624198,9.280995507,8.933555525,9.160189855,9.182495661,9.437341361,9.10865722,9.105823149,9.164325459,9.596082948,10.08546582,9.534051289,9.691064403,9.549181093,9.316009487,9.248955779,9.698611956,9.345573792,9.264779659,8.774795384,8.788042092,9.028505613
"CCNG2",7.936171976,7.889795051,7.828973576,7.832415066,7.780133731,7.81869501,7.85103466,7.713450467,8.213559555,8.117165368,7.811546249,7.701742197,8.177710375,8.041470821,8.095602508,7.903618653,8.06176581,7.622178516,7.90442932,7.611925299,7.700555968,8.013673029,7.813550511,7.82865342,8.201917759,7.711443709,7.801470476,8.432746864,8.092524663,7.76099874,7.753936534,7.919204764,8.110551189,7.805263563,8.307111675,7.862154444,8.155876169,7.948491286,7.638865016,8.00745815
"LTB4R",8.448275094,8.500692336,8.336092471,8.455243728,8.179191082,8.492402331,8.232484045,8.194043289,7.848160976,7.917291068,8.535457263,8.913621273,8.430937915,8.27690073,8.462359292,8.585009975,8.16337502,8.643806429,8.552163889,8.494696657,8.324979739,8.555379724,8.326031557,8.321211184,8.14975255,9.134758461,8.967869779,8.922105357,8.021742961,8.835500235,8.722867963,8.435097501,8.598229525,8.168696548,8.277803833,8.317879504,8.720963186,9.006759453,8.297581199,8.969987076
"EVI5L",8.829706904,8.991579383,9.124511149,8.721877742,8.755334365,8.750219446,8.65689104,9.003207836,7.823126267,8.025393178,8.501960577,8.483444453,8.305470791,8.60915109,8.438385414,8.350625968,8.555620854,8.748909035,8.445421656,8.98584336,8.764829615,8.537204512,8.63814414,8.590056239,8.646913776,9.244217298,9.317006431,8.014228394,8.091188358,8.660586163,8.833640647,8.777085628,8.479622635,8.848367392,8.476846595,8.591936207,8.550123476,8.690203808,8.537204512,8.327634506
"DDX39A",11.05519565,11.02330041,10.95691988,10.95534986,11.38438229,10.97029431,10.93095166,11.36794979,11.09175007,11.22083295,11.42347155,11.37134867,10.97090972,11.17828328,11.21121241,11.23248748,11.20585677,11.19384134,11.21697194,11.79327694,11.45642578,11.31036739,11.27944112,11.14584938,11.25855308,10.98520937,11.35311704,11.09529614,11.33983831,11.55214264,11.92335572,11.4737443,11.23583175,11.38764741,11.31036739,11.6304214,11.3721653,11.18320114,11.62727076,11.09269901
