Gene,MDG
CENPW,0.0031014864644556828
PTTG1,0.003028835923721921
RNF31,0.0030127561657380063
RNF181,0.002997437109620887
OLFM4,0.002975894940219208
KLRF1,0.002908924907914487
ANKRD22,0.0028904397128817444
IRF7,0.002839753395361536
ABLIM1,0.002826898302875789
LGALS3BP,0.0028031788357385633
ZNF329,0.002651073854259724
GNA15,0.002643920393017679
RFWD3,0.002557605633699445
OAS1,0.002543183407933755
SAMSN1,0.0025387533590618826
SRSF5,0.0025137809300792503
SAMD9L,0.0025083162093615463
TRAFD1,0.0024972935440480616
TXK,0.002479707923067811
OAS2,0.0024525653618174934
HNRNPU,0.0024085175169321015
TXNDC17,0.002353627743924782
DYRK2,0.0023328653635716306
CTNNAL1,0.00229494297380156
CITED4,0.0022892188967802898
CYSTM1,0.0022168094983005962
FNBP4,0.002205933975080595
LRP3,0.002188048892199103
XAF1,0.002184880497564464
COLQ,0.0021836771813300826
NPHP3,0.0021731631826738314
NOP10,0.0021622306393813545
KLF12,0.0021583338823199212
SLPI,0.0021414188501130012
F12,0.00214038209737879
GNG5,0.0020829425408493757
NSG1,0.002082519301301408
FAH,0.002064265845852286
GSTO1,0.002064228524323739
HBQ1,0.0020477326566090935
IL2RB,0.0020195645168281182
QSOX1,0.001989458201642708
DEFA4,0.0019782728724577186
TNFAIP6,0.0019671637352253204
GATA3,0.0019647693902439633
CD63,0.0019564710245592977
SAMD9,0.001953267459726598
TBC1D10C,0.001942819884185578
DHX58,0.0019373247800666498
TNFSF13B,0.001923913219389305
TFF3,0.0018918294829225247
RNASE3,0.0018795771922694552
PLSCR1,0.001862449918007234
SLC66A2,0.0018596528173730315
GALT,0.001777920755771826
ZNF264,0.0017724296580690772
CNNM3,0.0017566080867297503
RETN,0.001745627030989019
STARD8,0.0017446965269213388
HLX,0.0017270199241193101
S100A9,0.0016720495530282878
PPTC7,0.0016288515576670833
ZDHHC12,0.0016275773243507694
SH3GLB1,0.001625044172535452
ANXA3,0.0016059624791354746
ATXN7L3B,0.0015836860416820115
SLC22A16,0.0015817691944098103
NCL,0.0015431006217244906
S100A8,0.0015260833712150896
CD6,0.0014873487041382916
PTGDS,0.0014525843029241715
CBLB,0.0014524824271388694
NIBAN3,0.0014401379706746667
PTGDR,0.0014303976906456391
CMPK2,0.0014173078983842368
LGALS1,0.001405983650741037
C1QC,0.0014016876717190966
FCRL3,0.0014006884939474589
FCMR,0.0013947357173231493
BRSK1,0.0013819352979706696
PRTN3,0.0013474135033817373
CRY1,0.0013120909704949556
TMED1,0.001312059215122619
RUBCNL,0.0012749197366153937
CD160,0.0012725021831300112
UNC93B1,0.001255001583161366
DENND2D,0.001241941074057012
FCER1A,0.0012338388631522096
AZU1,0.0012225821511237217
SWAP70,0.0012217722068234005
EIF2AK2,0.00121833598304187
MATK,0.0012147152864222708
GPBAR1,0.0011751747476273662
SERPINB1,0.0011425578741505664
CEBPE,0.0011182888966243959
SH2D1B,0.0011166069996370739
OGT,0.0011072993188887353
HLA-DRA,0.001097341409294935
MX2,0.0010770441102507333
MAD2L1BP,0.0010693830115753812
PYHIN1,0.0010683747564517805
LTF,0.001055599822201219
RTP4,0.0010482310819387769
SNHG1,0.0010319904536978482
DESI1,0.0010271435258874168
TYMS,0.0010141990103509982
SCRN1,0.0010130418391432205
TAP1,0.0010063640851550437
RMI2,0.0009592940392796474
ASGR1,0.0009232985274914534
USP18,0.0009231113205344641
PCID2,0.0009078167167425972
CTDSP2,0.0008980382690744971
LY9,0.0008957867556238839
CD200R1,0.0008759853764674024
DRAM1,0.0008751948880468293
SNF8,0.0008660064055193166
